,name,Website,street address,city,state,zipcode,Type,Size,private,funding,Associates (y=1/n=0)
752,Everest College-Ontario Metro,www.everest.edu/campus/ontario_metro,1819 South Excise Avenue,Ontario,California,91761,"4-year, primarily associate's, Private for-profit",307.0,Private,for profit,1
753,Everest College-Phoenix,www.everest.edu/campus/phoenix,Suite 190,Phoenix,Arizona,85021-1641,"4-year, primarily associate's, Private for-profit",3350.0,Private,for profit,1
754,Everest College-Springfield Campus,www.everest.edu/campus/springfield,1010 W Sunshine,Springfield,Missouri,65807,"4-year, primarily associate's, Private for-profit",584.0,Private,for profit,1
755,Everest College-West Valley City,www.everest.edu/campus/salt_lake_city,3280 W 3500 S,West Valley City,Utah,84119-2632,"4-year, primarily associate's, Private for-profit",179.0,Private,for profit,1
756,Everest University-Brandon,www.everest.edu/campus/brandon,3924 Coconut Palm Dr,Tampa,Florida,33619-1354,"4-year, primarily associate's, Private for-profit",7251.0,Private,for profit,1
757,Everest University-Jacksonville,www.everest.edu/campus/jacksonville,8226 Phillips Hwy,Jacksonville,Florida,32256-1240,"4-year, primarily associate's, Private for-profit",377.0,Private,for profit,1
758,Everest University-Lakeland,www.everest.edu/campus/lakeland,995 E Memorial Blvd Suite110,Lakeland,Florida,33801,"4-year, primarily associate's, Private for-profit",1184.0,Private,for profit,1
759,Everest University-Largo,www.everest.edu/campus/largo,1199 East Bay Drive,Largo,Florida,33770-2556,"4-year, primarily associate's, Private for-profit",829.0,Private,for profit,1
760,Everest University-Melbourne,www.everest.edu/campus/melbourne,2401 N Harbor City Blvd,Melbourne,Florida,32935,"4-year, primarily associate's, Private for-profit",419.0,Private,for profit,1
761,Everest University-North Orlando,www.everest.edu/campus/north_orlando,5421 Diplomat Circle,Orlando,Florida,32810,"4-year, primarily associate's, Private for-profit",1901.0,Private,for profit,1
762,Everest University-Orange Park,www.everest.edu/campus/orange_park,805 Wells Rd,Orange Park,Florida,32073,"4-year, primarily associate's, Private for-profit",313.0,Private,for profit,1
763,Everest University-Pompano Beach,www.everest.edu/campus/pompano_beach,225 N. Federal Hwy.,Pompano Beach,Florida,33062,"4-year, primarily associate's, Private for-profit",582.0,Private,for profit,1
764,Everest University-South Orlando,www.everest.edu/campus/south_orlando,9200 Soutpark Center Loop,Orlando,Florida,32819,"4-year, primarily associate's, Private for-profit",11548.0,Private,for profit,1
765,Everest University-Tampa,www.everest.edu/campus/tampa,3319 W Hillsborough Ave,Tampa,Florida,33614,"4-year, primarily associate's, Private for-profit",1730.0,Private,for profit,1
766,Everglades University,www.evergladesuniversity.edu,Suite 100,Boca Raton,Florida,33431,"4-year, Private not-for-profit",1077.0,Private,not-for-profit,0
767,Everglades University-Orlando,www.evergladesuniversity.edu,5600 Lake Underhill Rd.-Suite 200,Orlando,Florida,32807,"4-year, Private not-for-profit",,Private,not-for-profit,0
768,Everglades University-Sarasota,www.evergladesuniversity.edu,6001Lake Osprey Dr.,Sarasota,Florida,34240,"4-year, Private not-for-profit",,Private,not-for-profit,0
769,Excelsior College,www.excelsior.edu,7 Columbia Cir,Albany,York,12203-5159,"4-year, Private not-for-profit",33453.0,Private,not-for-profit,0
770,Ex-Pression College for Digital Arts,www.expression.edu,6601 Shellmond St,Emeryville,California,94608,"4-year, Private for-profit",1200.0,Private,for profit,0
771,Facultad de Derecho Eugenio Maria de Hostos,www.hostos.edu,Calle Peral #57 Sur,Mayaguez,Rico,00680,"4-year, Private not-for-profit",205.0,Private,not-for-profit,0
772,Fairfield University,www.fairfield.edu,1073 N Benson Rd,Fairfield,Connecticut,06824-5195,"4-year, Private not-for-profit",5128.0,Private,not-for-profit,0
773,Fairleigh Dickinson University-College at Florham,www.fdu.edu,285 Madison Ave,Madison,Jersey,07940,"4-year, Private not-for-profit",3465.0,Private,not-for-profit,0
774,Fairleigh Dickinson University-Metropolitan Campus,www.fdu.edu,1000 River Rd,Teaneck,Jersey,07666,"4-year, Private not-for-profit",8693.0,Private,not-for-profit,0
775,Fairmont State University,www.fairmontstate.edu/,1201 Locust Ave,Fairmont,Virginia,26554-2470,"4-year, Public",4547.0,Public,not-for-profit,0
776,Faith Baptist Bible College and Theological Seminary,www.faith.edu,1900 NW 4th St,Ankeny,Iowa,50023-2152,"4-year, Private not-for-profit",392.0,Private,not-for-profit,0
777,Faith Evangelical Seminary,www.faithseminary.edu,3504 N Pearl St,Tacoma,Washington,98407-0186,"4-year, Private not-for-profit",192.0,Private,not-for-profit,0
778,Family of Faith College,www.familyoffaithcollege.edu,30 Kinville,Shawnee,Oklahoma,74802,"4-year, Private not-for-profit",59.0,Private,not-for-profit,0
779,Farmingdale State College,WWW.FARMINGDALE.EDU,2350 Broadhollow Road,Farmingdale,York,11735-1021,"4-year, primarily associate's, Public",6850.0,Public,not-for-profit,1
780,Fashion Institute of Technology,www.fitnyc.edu,227 W 27th St,New York,York,10001-5992,"4-year, primarily associate's, Public",10065.0,Public,not-for-profit,1
781,Faulkner University,www.faulkner.edu,5345 Atlanta Hwy,Montgomery,Alabama,36109-3378,"4-year, Private not-for-profit",3103.0,Private,not-for-profit,0
782,Fayetteville State University,www.uncfsu.edu,1200 Murchison Rd,Fayetteville,Carolina,28301-4298,"4-year, Public",6217.0,Public,not-for-profit,0
783,Felician College,www.felician.edu,262 S Main St,Lodi,Jersey,07644,"4-year, Private not-for-profit",2040.0,Private,not-for-profit,0
784,Ferris State University,www.ferris.edu/,1201 S State St,Big Rapids,Michigan,49307-2251,"4-year, Public",13532.0,Public,not-for-profit,0
785,Ferrum College,www.ferrum.edu,215 Ferrum Mountain Road,Ferrum,Virginia,24088-9000,"4-year, Private not-for-profit",1397.0,Private,not-for-profit,0
786,Fielding Graduate University,www.fielding.edu,2112 Santa Barbara St,Santa Barbara,California,93105-3538,"4-year, Private not-for-profit",1735.0,Private,not-for-profit,0
787,Finlandia University,www.finlandia.edu,601 Quincy St,Hancock,Michigan,49930-1832,"4-year, Private not-for-profit",521.0,Private,not-for-profit,0
788,Fisher College,www.fisher.edu,118 Beacon St,Boston,Massachusetts,02116,"4-year, primarily associate's, Private not-for-profit",1260.0,Private,0,1
789,Fisk University,www.fisk.edu,1000 17th Ave N,Nashville,Tennessee,37208-4501,"4-year, Private not-for-profit",726.0,Private,not-for-profit,0
790,Fitchburg State College,WWW.FSC.EDU,160 Pearl St,Fitchburg,Massachusetts,01420-2697,"4-year, Public",6761.0,Public,not-for-profit,0
791,Five Branches University,www.fivebranches.edu,200 7th Avenue,Santa Cruz,California,95062,"4-year, Private not-for-profit",289.0,Private,not-for-profit,0
792,Five Towns College,www.ftc.edu,305 North Service Road,Dix Hills,York,11746-5871,"4-year, Private for-profit",1163.0,Private,for profit,0
793,Flagler College,www.flagler.edu,74 King Street,Saint Augustine,Florida,32084,"4-year, Private not-for-profit",2662.0,Private,not-for-profit,0
794,Flagler College-Tallahassee,www.flagler.edu,444 Appleyard Dr,Tallahassee,Florida,32304,"4-year, Private not-for-profit",463.0,Private,not-for-profit,0
795,Florida Agricultural and Mechanical University,www.famu.edu,,Tallahassee,Florida,32307,"4-year, Public",11857.0,Public,not-for-profit,0
796,Florida Atlantic University,www.fau.edu/,777 Glades Rd,Boca Raton,Florida,33431-0991,"4-year, Public",26839.0,Public,not-for-profit,0
797,Florida Career College,www.careercollege.edu,1321 SW 107 Ave Ste 201B,Miami,Florida,33174,"4-year, primarily associate's, Private for-profit",2948.0,Private,for profit,1
